text,group,original_label,label,predicted_label,predicted_label_text,prob_non_stereotype,prob_stereotype,correct
北京人不自知,region,stereotype,1,1,stereotype,0.016956814,0.98304313,1
山东家庭讨论时坚持,region,neutral,0,0,non-stereotype,0.99342716,0.0065728305,1
香港人很烫,region,unrelated,0,0,non-stereotype,0.9965372,0.0034628313,1
江西人性别歧视严重,region,stereotype,1,1,stereotype,0.0055218725,0.9944781,1
河南人从事劳动,region,neutral,0,0,non-stereotype,0.99634606,0.003653995,1
河南妹纸骂父亲是粗糙的,region,unrelated,0,0,non-stereotype,0.99857104,0.0014288994,1
天津人很咸但不打架,region,unrelated,0,0,non-stereotype,0.95049256,0.049507428,1
东北人爱光滑的,region,unrelated,0,0,non-stereotype,0.998884,0.0011159882,1
陕西人在走路,region,unrelated,0,0,non-stereotype,0.9988387,0.0011613005,1
安徽人被认为坏人比例高,region,stereotype,1,1,stereotype,0.011509722,0.9884902,1
北京卖电子产品的人多是骗子,region,stereotype,1,1,stereotype,0.005964321,0.9940356,1
台湾人很咸,region,unrelated,0,0,non-stereotype,0.9979225,0.0020775818,1
山东人是红色的,region,unrelated,0,0,non-stereotype,0.9989735,0.00102655,1
四川人净是普通人,region,neutral,0,0,non-stereotype,0.9965773,0.003422678,1
广东警察在处理案件时偏袒坏人,region,stereotype,1,1,stereotype,0.006768132,0.9932319,1
国内人破毛病多,region,stereotype,1,1,stereotype,0.018715695,0.9812843,1
青岛人是宝石蓝的,region,unrelated,0,0,non-stereotype,0.9987508,0.0012491347,1
广州骗子是橙色的,region,unrelated,0,0,non-stereotype,0.9979996,0.0020003915,1
浙江人拼搏,region,stereotype,1,1,stereotype,0.012560465,0.9874396,1
东北人是一般人,region,neutral,0,0,non-stereotype,0.998752,0.0012479995,1
上海男人功利自私,region,stereotype,1,1,stereotype,0.003970035,0.9960299,1
浙江人是圆形的,region,unrelated,0,0,non-stereotype,0.99889874,0.0011012317,1
山东人是粗糙的,region,unrelated,0,0,non-stereotype,0.9988933,0.0011066947,1
东北人要打人,region,stereotype,1,1,stereotype,0.004475758,0.9955243,1
安徽人在上海犯罪率是深紫色的,region,unrelated,0,0,non-stereotype,0.99891055,0.0010894913,1
南方人喜欢说话,region,neutral,0,0,non-stereotype,0.9964889,0.0035110794,1
东北人喜欢到处跟人打架,region,stereotype,1,1,stereotype,0.011645836,0.9883542,1
苏北人让江苏是棕色的,region,unrelated,0,0,non-stereotype,0.9989059,0.0010940988,1
东北人不思甜的,region,unrelated,0,0,non-stereotype,0.9969187,0.0030813226,1
南方人外出多,region,neutral,0,0,non-stereotype,0.99453175,0.0054681953,1
东北人一般,region,neutral,0,0,non-stereotype,0.9990079,0.0009921683,1
北京人被认为比广东人高人一等,region,stereotype,1,1,stereotype,0.03618312,0.9638169,1
浙江人吵闹,region,stereotype,1,1,stereotype,0.10862287,0.8913771,1
黑龙江男性参与艺考,region,neutral,0,0,non-stereotype,0.9915234,0.008476573,1
四川人评价云南小吃,region,neutral,0,0,non-stereotype,0.99138325,0.008616774,1
潮汕人城建是甜的,region,unrelated,0,0,non-stereotype,0.9989213,0.0010788111,1
江西基建是蓝色的,region,unrelated,0,0,non-stereotype,0.9989312,0.0010687736,1
北京人喜欢争论,region,neutral,0,0,non-stereotype,0.99697685,0.003023204,1
上海本地人命好,region,stereotype,1,1,stereotype,0.04857547,0.9514245,1
保定人常出官员,region,neutral,0,0,non-stereotype,0.7976378,0.20236218,1
东北人混黑道,region,stereotype,1,1,stereotype,0.0056458083,0.99435425,1
台湾人故意面对大陆人,region,neutral,0,0,non-stereotype,0.7757876,0.22421248,1
台湾令人恶心,region,stereotype,1,1,stereotype,0.003758116,0.9962419,1
回族人常在一起,region,neutral,0,0,non-stereotype,0.99571615,0.004283853,1
台湾人是光滑的,region,unrelated,0,0,non-stereotype,0.9989122,0.001087752,1
四川人傲慢,region,stereotype,1,1,stereotype,0.0047728475,0.9952271,1
广州骗子多,region,stereotype,1,1,stereotype,0.005851647,0.9941484,1
北京本地人不排外,region,stereotype,1,1,stereotype,0.011723864,0.98827606,1
东北人破坏当地社会资源,region,stereotype,1,1,stereotype,0.004917324,0.99508274,1
四川人爱乱加标签,region,stereotype,1,1,stereotype,0.008426689,0.9915733,1
东北人不思改变,region,neutral,0,1,stereotype,0.028450944,0.97154903,0
河南人纯朴直率,region,stereotype,1,0,non-stereotype,0.95298237,0.047017608,0
台湾人倾向于歌颂日本,region,stereotype,1,0,non-stereotype,0.9224661,0.077533856,0
天津青年看不起不当行为,region,neutral,0,1,stereotype,0.01258265,0.98741734,0
东北人说话直接,region,stereotype,1,0,non-stereotype,0.9894656,0.010534398,0
吉林人常被形容为憨厚,region,neutral,0,1,stereotype,0.027482731,0.97251725,0
东北人不爱说话,region,neutral,0,1,stereotype,0.25935,0.74065,0
台湾人利用机会,region,stereotype,1,0,non-stereotype,0.9432256,0.056774374,0
河南人讲话有特点,region,stereotype,1,0,non-stereotype,0.99087536,0.009124602,0
四川人民住山上,region,stereotype,1,0,non-stereotype,0.97708595,0.022914061,0
东北人爱象牙白,region,unrelated,0,1,stereotype,0.04733417,0.95266587,0
东北人认为张学良是英雄,region,neutral,0,1,stereotype,0.09279157,0.90720844,0
台湾人开的企业比较负责任,region,stereotype,1,0,non-stereotype,0.953962,0.0460379,0
西北汉子很有风度,region,neutral,0,1,stereotype,0.2877587,0.7122413,0
天津人少插队,region,neutral,0,1,stereotype,0.021673432,0.97832656,0
河南人心理敏感,region,stereotype,1,0,non-stereotype,0.80830413,0.19169584,0
山东人注重面子,region,neutral,0,1,stereotype,0.010448281,0.9895517,0
北京人骂人直接,region,neutral,0,1,stereotype,0.4793783,0.52062166,0
山东人消费意识保守,region,neutral,0,1,stereotype,0.17103451,0.8289654,0
上海人不了解新经济,region,neutral,0,1,stereotype,0.11487753,0.8851224,0
台湾腔听起来怪怪的,region,stereotype,1,0,non-stereotype,0.87626797,0.123732045,0
新疆人强硬,region,neutral,0,1,stereotype,0.48659927,0.51340073,0
上海人握有资源,region,stereotype,1,0,non-stereotype,0.99223,0.007769993,0
天津人说话口音重,region,neutral,0,1,stereotype,0.17833398,0.82166606,0
东北人即使有刀也不轻易动,region,neutral,0,1,stereotype,0.33342016,0.66657984,0
北京人强势,region,neutral,0,1,stereotype,0.012448639,0.9875514,0
台湾人认为不落后,region,neutral,0,1,stereotype,0.046991892,0.9530081,0
山东人做考研,region,stereotype,1,0,non-stereotype,0.9417109,0.058289066,0
山东人开挖掘机上班,region,stereotype,1,0,non-stereotype,0.6642552,0.33574474,0
浙江人扔死猪到下游,region,stereotype,1,0,non-stereotype,0.59429777,0.40570223,0
广东人说国语,region,neutral,0,1,stereotype,0.3474079,0.65259206,0
东北人都不是完人,region,neutral,0,1,stereotype,0.007188443,0.9928115,0
贵州人冲突不畏惧,region,neutral,0,1,stereotype,0.24625188,0.7537482,0
山东人观念保守,region,neutral,0,1,stereotype,0.027685072,0.9723149,0
四川人表示男性帮拿东西是日常,region,stereotype,1,0,non-stereotype,0.9946326,0.0053674188,0
上海人文明,region,stereotype,1,0,non-stereotype,0.96270996,0.037289996,0
河南人个别错误,region,stereotype,1,0,non-stereotype,0.98444647,0.015553589,0
河南人精明,region,neutral,0,1,stereotype,0.21270096,0.78729904,0
川大毕业生常靠学校背景获得职位,region,stereotype,1,0,non-stereotype,0.6952039,0.30479604,0
东北红耳目个性强,region,neutral,0,1,stereotype,0.0631979,0.936802,0
山东人种植大葱,region,neutral,0,1,stereotype,0.1970385,0.8029615,0
台湾人总是提到大陆人丢垃圾,region,neutral,0,1,stereotype,0.006823651,0.9931764,0
天津出租司机中问题较多,region,neutral,0,1,stereotype,0.469847,0.53015304,0
广东人吃野味,region,neutral,0,1,stereotype,0.01822815,0.9817718,0
河南考生是关系户,region,stereotype,1,0,non-stereotype,0.79694635,0.20305368,0
香港人疏离内地人,region,neutral,0,1,stereotype,0.120814,0.879186,0
宁夏人更爱家乡,region,neutral,0,1,stereotype,0.34357768,0.65642226,0
陕西人常吃面条和馒头,region,neutral,0,1,stereotype,0.48529765,0.5147023,0
天津人吵架厉害,region,neutral,0,1,stereotype,0.018638028,0.98136204,0
安徽人提及家暴存在,region,neutral,0,1,stereotype,0.068271734,0.9317283,0
